Case	f0	q	M_tot	chi1	chi2	theta1	phi1	theta2	phi2	f_peak
71	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	5.497787143782138	323.2016782500338
72	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	1.5707963267948966	6.283185307179586	323.2016782500338
73	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	0.7853981633974483	313.7099292280491
74	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	1.5707963267948966	313.7099292280491
75	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	2.356194490192345	313.7099292280491
76	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	3.141592653589793	313.7099292280491
77	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	3.9269908169872414	313.7099292280491
78	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	4.71238898038469	313.7099292280491
79	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	5.497787143782138	313.7099292280491
80	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.018628723723829	6.283185307179586	313.7099292280491
81	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	0.7853981633974483	307.7985974308164
82	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	1.5707963267948966	307.7985974308164
83	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	2.356194490192345	307.7985974308164
84	30.	0.9	37.5	0.8	0.8	1.1229639298659642	0	2.6179938779914944	3.141592653589793	307.7985974308164
